Geographical District Code,Building Code,ATS System Code,Location Name,Primary Address,City,Zip,Service
1,M015,01M015,P.S. 015 Roberto Clemente,333 EAST 4 STREET,MANHATTAN,10009,Community School MH
1,M020,01M020,P.S. 020 Anna Silver,166 ESSEX STREET,MANHATTAN,10002,School-based Mental Health Clinic
1,M034,01M034,P.S. 034 Franklin D. Roosevelt,730 EAST 12 STREET,MANHATTAN,10009,School-based Mental Health Clinic
1,M063,01M063,The STAR Academy - P.S.63,121 EAST 3 STREET,MANHATTAN,10009,School-based Mental Health Clinic
1,M064,01M064,P.S. 064 Robert Simon,600 EAST 6 STREET,MANHATTAN,10009,School-based Health Center w/ Mental Health
1,M134,01M134,P.S. 134 Henrietta Szold,293 EAST BROADWAY,MANHATTAN,10002,School-based Mental Health Clinic
1,M140,01M140,P.S. 140 Nathan Straus,123 RIDGE STREET,MANHATTAN,10002,School-based Mental Health Clinic
1,M142,01M142,P.S. 142 Amalia Castro,100 ATTORNEY STREET,MANHATTAN,10002,School-based Mental Health Clinic
1,M137,01M184,P.S. 184m Shuang Wen,327 CHERRY STREET,MANHATTAN,10002,School Mental Health Specialist Program
1,M188,01M188,P.S. 188 The Island School,442 EAST HOUSTON STREET,NEW YORK,10002,Community School MH
1,M056,01M292,Orchard Collegiate Academy,220 HENRY STREET,MANHATTAN,10002,Community School MH
1,M056,01M332,University Neighborhood Middle School,220 HENRY STREET,MANHATTAN,10002,School-based Health Center w/ Mental Health
1,M063,01M363,Neighborhood School,121 EAST 3 STREET,MANHATTAN,10009,School-based Mental Health Clinic
1,M064,01M364,Earth School,600 EAST 6 STREET,MANHATTAN,10009,School-based Health Center w/ Mental Health
1,M025,01M378,School for Global Leaders,145 STANTON STREET,MANHATTAN,10002,School Mental Health Specialist Program
1,M446,01M448,University Neighborhood High School,200 MONROE STREET,MANHATTAN,10002,School Mental Health Specialist Program
1,M060,01M450,East Side Community School,420 East 12 Street,Manhattan,10009,School-based Mental Health Clinic
1,M097,01M696,Bard High School Early College,525 EAST HOUSTON STREET,MANHATTAN,10002,School Mental Health Specialist Program
1,M064,01M839,Tompkins Square Middle School,600 EAST 6 STREET,MANHATTAN,10009,School-based Health Center w/ Mental Health
2,M011,02M011,P.S. 011 William T. Harris,320 WEST 21 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
2,M041,02M041,P.S. 041 Greenwich Village,116 WEST 11 STREET,MANHATTAN,10011,School-based Mental Health Clinic
2,M104,02M104,J.H.S. 104 Simon Baruch,330 EAST 21 STREET,MANHATTAN,10010,School Mental Health Specialist Program
2,M111,02M111,P.S. 111 Adolph S. Ochs,440 WEST 53 STREET,MANHATTAN,10019,School-based Mental Health Clinic
2,M114,02M114,East Side Middle School,331 EAST 91ST STREET,MANHATTAN,10128,School Mental Health Specialist Program
2,M116,02M116,P.S. 116 Mary Lindley Murray,210 EAST 33 STREET,MANHATTAN,10016,School-based Mental Health Clinic
2,M126,02M126,P.S. 126 Jacob August Riis,80 CATHERINE STREET,MANHATTAN,10038,School-based Mental Health Clinic
2,M131,02M131,M.S. 131,100 HESTER STREET,MANHATTAN,10002,School Mental Health Specialist Program
2,M520,02M135,The Urban Assembly School for Emergency Management,411 PEARL STREET,MANHATTAN,10038,School-based Health Center w/ Mental Health
2,M066,02M151,Yorkville Community School,421 EAST 88 STREET,MANHATTAN,10128,School-based Mental Health Clinic
2,M167,02M167,J.H.S. 167 Robert F. Wagner,220 EAST 76 STREET,MANHATTAN,10021,School Mental Health Specialist Program
2,M158,02M177,Yorkville East Middle School,1458 YORK AVENUE,MANHATTAN,10075,School Mental Health Specialist Program
2,M271,02M217,P.S./I.S. 217 Roosevelt Island,645 MAIN STREET,MANHATTAN,10044,School Mental Health Specialist Program
2,M480,02M225,Ella Baker School,317 EAST 67 STREET,MANHATTAN,10065,School-based Health Center w/ Mental Health
2,M868,02M260,The Clinton School,10 East 15th Street,MANHATTAN,10003,School Response Team
2,M276,02M276,Battery Park City School,55 BATTERY PLACE,MANHATTAN,10280,School Mental Health Specialist Program
2,M520,02M280,Manhattan Early College School for Advertising,411 PEARL STREET,MANHATTAN,10038,School-based Health Center w/ Mental Health
2,M520,02M282,Urban Assembly Maker Academy,411 PEARL STREET,MANHATTAN,10038,School-based Health Center w/ Mental Health
2,M535,02M288,Food and Finance High School,525 WEST 50TH STREET,MANHATTAN,10019,School-based Health Center w/ Mental Health
2,M089,02M289,I.S. 289,201 WARREN STREET,MANHATTAN,10282,School Mental Health Specialist Program
2,M445,02M294,Essex Street Academy,350 GRAND STREET,MANHATTAN,10002,School-based Health Center w/ Mental Health
2,M535,02M296,High School of Hospitality Management,525 WEST 50TH STREET,MANHATTAN,10019,Prevention Intervention Program MH
2,M323,02M297,M.S. 297,75 MORTON STREET,MANHATTAN,10014,School Mental Health Specialist Program
2,M131,02M298,Pace High School,100 HESTER STREET,MANHATTAN,10002,School Mental Health Specialist Program
2,M535,02M300,"Urban Assembly School of Design and Construction, The",525 WEST 50TH STREET,MANHATTAN,10019,School-based Health Center w/ Mental Health
2,M535,02M303,"Facing History School, The",525 WEST 50TH STREET,MANHATTAN,10019,School-based Health Center w/ Mental Health
2,M445,02M305,"Urban Assembly Academy of Government and Law, The",350 GRAND STREET,MANHATTAN,10002,School-based Health Center w/ Mental Health
2,M445,02M308,Lower Manhattan Arts Academy,350 GRAND STREET,MANHATTAN,10002,School-based Health Center w/ Mental Health
2,M070,02M312,New York City Lab Middle School for Collaborative Studies,333 WEST 17 STREET,MANHATTAN,10011,School Mental Health Specialist Program
2,M440,02M313,"James Baldwin School, The: A School for Expeditionary Learning",351 WEST 18 STREET,MANHATTAN,10011,School-based Health Center w/ Mental Health
