,DBN,Location Name,Location Type,Total SW & GC,Total GC,Full Time,Part Time,Bilingual,Serving more than one location,SY2016-17 Enrollment,Ratio GC & SW,Ratio GC Only
0,01M015,01M015 - P.S. 015 ROBERTO CLEMENTE,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,178.0,178.0,178.0
1,01M019,01M019 - P.S. 019 ASHER LEVY,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,271.0,136.0,271.0
2,01M020,01M020 - P.S. 020 ANNA SILVER,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,540.0,270.0,540.0
3,01M034,01M034 - P.S. 034 FRANKLIN D. ROOSEVELT,K-8                                ,1.0,1.0,1.0,0.0,0.0,0.0,350.0,350.0,350.0
4,01M063,01M063 - THE STAR ACADEMY - P.S.63,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,200.0,100.0,200.0
5,01M064,01M064 - P.S. 064 ROBERT SIMON,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,247.0,124.0,247.0
6,01M110,01M110 - P.S. 110 FLORENCE NIGHTINGALE,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,383.0,192.0,383.0
7,01M134,01M134 - P.S. 134 HENRIETTA SZOLD,ELEMENTARY                         ,3.0,2.0,2.0,0.0,0.0,0.0,354.0,118.0,177.0
8,01M140,01M140 - P.S. 140 NATHAN STRAUS,K-8                                ,1.0,1.0,1.0,0.0,0.0,0.0,382.0,382.0,382.0
9,01M142,01M142 - P.S. 142 AMALIA CASTRO,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,356.0,178.0,356.0
10,01M184,01M184 - P.S. 184M SHUANG WEN,K-8                                ,2.0,2.0,2.0,0.0,0.0,0.0,672.0,336.0,336.0
11,01M188,01M188 - P.S. 188 THE ISLAND SCHOOL,K-8                                ,3.0,2.0,2.0,0.0,0.0,0.0,445.0,149.0,223.0
12,01M292,01M292 - HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,SECONDARY SCHOOL                   ,1.0,1.0,1.0,0.0,0.0,0.0,140.0,140.0,140.0
13,01M301,01M301 - TECHNOLOGY  ARTS  AND SCIENCES STUDIO,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,127.0,127.0,127.0
14,01M315,01M315 - THE EAST VILLAGE COMMUNITY SCHOOL,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,315.0,315.0,315.0
15,01M332,01M332 - UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,1.0,1.0,0.0,0.0,0.0,234.0,117.0,234.0
16,01M361,01M361 - THE CHILDREN'S WORKSHOP SCHOOL,ELEMENTARY                         ,0.0,0.0,0.0,0.0,0.0,0.0,295.0,,
17,01M363,01M363 - NEIGHBORHOOD SCHOOL,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,304.0,304.0,304.0
18,01M364,01M364 - EARTH SCHOOL,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,331.0,331.0,331.0
19,01M378,01M378 - SCHOOL FOR GLOBAL LEADERS,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,283.0,283.0,283.0
20,01M448,01M448 - UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HIGH SCHOOL                        ,2.0,2.0,2.0,0.0,0.0,0.0,392.0,196.0,196.0
21,01M450,01M450 - EAST SIDE COMMUNITY SCHOOL,SECONDARY SCHOOL                   ,3.0,1.0,1.0,0.0,0.0,0.0,699.0,233.0,699.0
22,01M458,01M458 - FORSYTH SATELLITE ACADEMY,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,0.0,0.0,212.0,71.0,106.0
23,01M509,01M509 - MARTA VALLE HIGH SCHOOL,HIGH SCHOOL                        ,1.0,1.0,1.0,0.0,0.0,0.0,204.0,204.0,204.0
24,01M515,01M515 - LOWER EAST SIDE PREPARATORY HIGH SCHOOL,HIGH SCHOOL                        ,4.0,3.0,3.0,0.0,1.0,0.0,559.0,140.0,187.0
25,01M539,01M539 - NEW EXPLORATIONS INTO SCIENCE  TECHNOLOGY AND MATH,K-12 ALL GRADES                    ,5.0,5.0,5.0,0.0,0.0,0.0,1745.0,291.0,291.0
26,01M650,01M650 - CASCADES HIGH SCHOOL,HIGH SCHOOL                        ,2.0,2.0,2.0,0.0,1.0,0.0,239.0,120.0,120.0
27,01M696,01M696 - BARD HIGH SCHOOL EARLY COLLEGE,HIGH SCHOOL                        ,3.0,3.0,3.0,0.0,0.0,0.0,548.0,183.0,183.0
28,01M839,01M839 - TOMPKINS SQUARE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,374.0,374.0,374.0
29,02M001,02M001 - P.S. 001 ALFRED E. SMITH,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,356.0,356.0,356.0
30,02M002,02M002 - P.S. 002 MEYER LONDON,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,603.0,603.0,603.0
31,02M003,02M003 - P.S. 003 CHARRETTE SCHOOL,ELEMENTARY                         ,2.4,0.4,0.0,0.4,0.0,0.0,778.0,260.0,778.0
32,02M006,02M006 - P.S. 006 LILLIE D. BLAKE,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,683.0,342.0,683.0
33,02M011,02M011 - P.S. 011 WILLIAM T. HARRIS,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,931.0,466.0,931.0
34,02M033,02M033 - P.S. 033 CHELSEA PREP,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,622.0,622.0,622.0
35,02M040,02M040 - P.S. 040 AUGUSTUS SAINT-GAUDENS,ELEMENTARY                         ,2.0,0.0,0.0,0.0,0.0,0.0,650.0,325.0,
36,02M041,02M041 - P.S. 041 GREENWICH VILLAGE,ELEMENTARY                         ,2.2,1.2,0.0,1.2,0.0,0.0,699.0,233.0,350.0
37,02M042,02M042 - P.S. 042 BENJAMIN ALTMAN,ELEMENTARY                         ,2.0,0.0,0.0,0.0,0.0,0.0,654.0,327.0,
38,02M047,02M047 - 47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,HIGH SCHOOL                        ,1.0,1.0,1.0,0.0,1.0,0.0,179.0,179.0,179.0
39,02M051,02M051 - P.S. 051 ELIAS HOWE,ELEMENTARY                         ,1.0,0.0,0.0,0.0,0.0,0.0,389.0,389.0,
40,02M059,02M059 - P.S. 059 BEEKMAN HILL INTERNATIONAL,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,576.0,288.0,576.0
41,02M077,02M077 - P.S. 77 LOWER LAB SCHOOL,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,359.0,359.0,359.0
42,02M089,02M089 - P.S. 89,ELEMENTARY                         ,1.6,0.6,0.0,0.6,0.0,0.6,412.0,206.0,412.0
43,02M104,02M104 - J.H.S. 104 SIMON BARUCH,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,4.0,4.0,4.0,0.0,0.0,0.0,1145.0,287.0,287.0
44,02M111,02M111 - P.S. 111 ADOLPH S. OCHS,K-8                                ,2.0,1.0,1.0,0.0,0.0,0.0,334.0,167.0,334.0
45,02M114,02M114 - EAST SIDE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,443.0,443.0,443.0
46,02M116,02M116 - P.S. 116 MARY LINDLEY MURRAY,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,585.0,293.0,585.0
47,02M124,02M124 - P.S. 124 YUNG WING,ELEMENTARY                         ,1.0,0.0,0.0,0.0,0.0,0.0,785.0,785.0,
48,02M126,02M126 - P.S. 126 JACOB AUGUST RIIS,K-8                                ,3.0,1.0,1.0,0.0,0.0,0.0,791.0,264.0,791.0
49,02M130,02M130 - P.S. 130 HERNANDO DE SOTO,ELEMENTARY                         ,3.0,2.0,2.0,0.0,0.0,0.0,962.0,321.0,481.0
50,02M131,02M131 - M.S. 131,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,3.0,1.0,1.0,0.0,1.0,0.0,457.0,153.0,457.0
51,02M135,02M135 - THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,1.0,0.0,315.0,158.0,315.0
52,02M139,02M139 - STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,HIGH SCHOOL                        ,3.0,1.0,1.0,0.0,0.0,0.0,378.0,126.0,378.0
53,02M150,02M150 - P.S. 150,ELEMENTARY                         ,0.6,0.6,0.0,0.6,0.0,0.0,186.0,186.0,186.0
54,02M151,02M151 - YORKVILLE COMMUNITY SCHOOL,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,537.0,269.0,537.0
55,02M158,02M158 - P.S. 158 BAYARD TAYLOR,ELEMENTARY                         ,2.0,0.0,0.0,0.0,0.0,0.0,781.0,391.0,
56,02M167,02M167 - J.H.S. 167 ROBERT F. WAGNER,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,5.0,4.0,4.0,0.0,0.0,0.0,1357.0,272.0,340.0
57,02M177,02M177 - YORKVILLE EAST MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,2.0,2.0,0.0,0.0,0.0,213.0,107.0,107.0
58,02M183,02M183 - P.S. 183 ROBERT L. STEVENSON,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,567.0,284.0,567.0
59,02M198,02M198 - P.S. 198 ISADOR E. IDA STRAUS,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,468.0,234.0,468.0
60,02M212,02M212 - P.S. 212 MIDTOWN WEST,ELEMENTARY                         ,0.4,0.4,0.0,0.4,0.0,0.4,375.0,375.0,375.0
