,Pct,Intervention Type,Restraints,Gender,Age,Race
0,1.0,Arrested,Metal,M,17.0,White Hispanic
1,1.0,Child in Crisis,No Restraints,F,17.0,Asian/Pacific Isl.
2,1.0,Child in Crisis,No Restraints,F,16.0,Asian/Pacific Isl.
3,1.0,Child in Crisis,No Restraints,M,17.0,Arabic
4,1.0,Child in Crisis,Metal,M,17.0,Asian/Pacific Isl.
5,1.0,Child in Crisis,No Restraints,M,21.0,Black Hispanic
6,1.0,Juvenile Report,No Restraints,F,17.0,Black
7,1.0,Juvenile Report,No Restraints,M,17.0,East Indian
8,1.0,Mitigated,No Restraints,F,15.0,Black Hispanic
9,1.0,Mitigated,No Restraints,F,14.0,Black Hispanic
10,1.0,Mitigated,No Restraints,F,14.0,Black
11,1.0,Mitigated,No Restraints,F,15.0,Black
12,1.0,Mitigated,No Restraints,F,14.0,Black Hispanic
13,1.0,Mitigated,No Restraints,F,15.0,Black
14,1.0,Mitigated,No Restraints,F,15.0,Black
15,1.0,Mitigated,No Restraints,M,12.0,Asian/Pacific Isl.
16,1.0,Mitigated,No Restraints,F,15.0,Black
17,1.0,Mitigated,No Restraints,M,17.0,White Hispanic
18,1.0,Mitigated,No Restraints,M,15.0,Black
19,1.0,Mitigated,No Restraints,M,16.0,Black
20,1.0,Mitigated,No Restraints,F,15.0,White Hispanic
21,1.0,Mitigated,No Restraints,F,14.0,Unknown
22,5.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
23,5.0,Child in Crisis,No Restraints,M,10.0,White Hispanic
24,5.0,Juvenile Report,No Restraints,M,13.0,Black
25,5.0,Juvenile Report,No Restraints,M,16.0,White Hispanic
26,5.0,Juvenile Report,No Restraints,M,15.0,Black
27,5.0,Juvenile Report,No Restraints,M,16.0,White Hispanic
28,5.0,Juvenile Report,No Restraints,M,14.0,White Hispanic
29,5.0,Juvenile Report,No Restraints,M,15.0,Black
30,5.0,Mitigated,No Restraints,M,13.0,Black
31,5.0,Mitigated,Metal,F,17.0,Black
32,5.0,Mitigated,No Restraints,F,6.0,Black
33,5.0,Mitigated,No Restraints,M,15.0,White Hispanic
34,5.0,Mitigated,No Restraints,F,14.0,White Hispanic
35,5.0,Mitigated,No Restraints,M,14.0,White Hispanic
36,5.0,Mitigated,No Restraints,F,15.0,Black
37,5.0,Summons,No Restraints,F,16.0,Black
38,5.0,Summons,No Restraints,M,17.0,White Hispanic
39,5.0,Summons,No Restraints,M,18.0,Black Hispanic
40,6.0,Arrested,Metal,M,18.0,Black
41,6.0,Child in Crisis,No Restraints,M,14.0,Black
42,6.0,Child in Crisis,No Restraints,M,11.0,Black
43,6.0,Child in Crisis,No Restraints,M,12.0,Black
44,6.0,Child in Crisis,Metal,M,13.0,Black
45,6.0,Child in Crisis,No Restraints,F,12.0,White Hispanic
46,6.0,Mitigated,No Restraints,M,14.0,White Hispanic
47,6.0,Mitigated,No Restraints,M,10.0,White
48,6.0,Summons,No Restraints,M,18.0,Black
49,7.0,Arrested,Metal,M,16.0,White Hispanic
50,7.0,Child in Crisis,No Restraints,F,17.0,Black
51,7.0,Child in Crisis,No Restraints,F,16.0,Black Hispanic
52,7.0,Child in Crisis,No Restraints,M,17.0,White Hispanic
53,7.0,Child in Crisis,No Restraints,M,15.0,White Hispanic
54,7.0,Child in Crisis,No Restraints,M,15.0,Unknown
55,7.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
56,7.0,Child in Crisis,No Restraints,M,10.0,Black
57,7.0,Child in Crisis,No Restraints,M,14.0,Asian/Pacific Isl.
58,7.0,Juvenile Report,No Restraints,M,16.0,Black
59,7.0,Juvenile Report,No Restraints,M,15.0,Black
60,7.0,Mitigated,No Restraints,M,20.0,Black Hispanic
61,9.0,Child in Crisis,No Restraints,M,4.0,Black
62,9.0,Child in Crisis,Metal,F,15.0,Black
63,9.0,Child in Crisis,No Restraints,M,19.0,White Hispanic
64,9.0,Child in Crisis,No Restraints,F,15.0,Black
65,9.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
66,9.0,Child in Crisis,No Restraints,M,17.0,White Hispanic
67,9.0,Child in Crisis,No Restraints,M,20.0,Black
68,9.0,Child in Crisis,No Restraints,M,20.0,Black Hispanic
69,9.0,Child in Crisis,No Restraints,F,13.0,White Hispanic
70,9.0,Child in Crisis,No Restraints,M,11.0,White Hispanic
71,9.0,Child in Crisis,No Restraints,F,14.0,Black
72,10.0,Child in Crisis,No Restraints,F,14.0,Black Hispanic
73,10.0,Child in Crisis,No Restraints,F,17.0,White Hispanic
74,10.0,Child in Crisis,No Restraints,F,14.0,White Hispanic
75,10.0,Child in Crisis,No Restraints,F,14.0,Black
76,10.0,Child in Crisis,No Restraints,F,15.0,Black
77,10.0,Child in Crisis,No Restraints,F,14.0,White
78,10.0,Child in Crisis,No Restraints,F,14.0,Black
79,10.0,Child in Crisis,No Restraints,F,19.0,Black
80,10.0,Child in Crisis,No Restraints,M,10.0,Black
81,10.0,Child in Crisis,No Restraints,F,9.0,Black Hispanic
82,10.0,Child in Crisis,No Restraints,M,15.0,White Hispanic
83,10.0,Juvenile Report,No Restraints,M,14.0,White
84,10.0,Juvenile Report,No Restraints,F,17.0,Black
85,10.0,Juvenile Report,No Restraints,F,16.0,Black
86,10.0,Juvenile Report,No Restraints,F,15.0,Black
87,10.0,Juvenile Report,No Restraints,M,12.0,White
88,10.0,Juvenile Report,Metal,F,15.0,Black
89,10.0,Juvenile Report,Metal,F,16.0,Black
90,10.0,Juvenile Report,No Restraints,M,14.0,Black Hispanic
91,10.0,Mitigated,No Restraints,M,17.0,Black
92,10.0,Mitigated,No Restraints,F,17.0,White Hispanic
93,10.0,Mitigated,No Restraints,F,17.0,White
94,10.0,Mitigated,No Restraints,M,18.0,Black
95,10.0,Mitigated,No Restraints,M,19.0,White Hispanic
96,10.0,Mitigated,No Restraints,F,16.0,White Hispanic
97,10.0,Mitigated,No Restraints,F,14.0,White Hispanic
98,10.0,Mitigated,No Restraints,F,17.0,Black
99,10.0,Mitigated,No Restraints,F,18.0,White
100,10.0,Mitigated,No Restraints,F,16.0,Black
101,10.0,Mitigated,No Restraints,M,10.0,Black
102,10.0,Mitigated,No Restraints,M,10.0,Black
103,13.0,Arrested,Metal,M,17.0,Black
104,13.0,Arrested,Metal,M,15.0,Asian/Pacific Isl.
105,13.0,Arrested,Metal,M,16.0,Black
106,13.0,Child in Crisis,No Restraints,F,15.0,White
107,13.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
108,13.0,Child in Crisis,Metal,M,17.0,White Hispanic
109,13.0,Child in Crisis,No Restraints,F,14.0,White
110,13.0,Juvenile Report,No Restraints,M,15.0,White Hispanic
111,13.0,Juvenile Report,No Restraints,M,15.0,White
112,13.0,Juvenile Report,No Restraints,M,15.0,White Hispanic
113,13.0,Juvenile Report,Metal,M,17.0,White Hispanic
114,13.0,Juvenile Report,No Restraints,M,15.0,White Hispanic
115,13.0,Juvenile Report,No Restraints,M,15.0,Asian/Pacific Isl.
116,13.0,Juvenile Report,No Restraints,M,17.0,Black
117,13.0,Mitigated,No Restraints,M,15.0,Black
118,13.0,Mitigated,No Restraints,M,17.0,Arabic
119,13.0,Mitigated,No Restraints,M,15.0,White
120,13.0,Mitigated,No Restraints,F,14.0,White Hispanic
121,13.0,Mitigated,No Restraints,M,15.0,Black
122,14.0,Juvenile Report,No Restraints,F,14.0,Black
123,17.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
124,17.0,Child in Crisis,No Restraints,F,15.0,White Hispanic
125,17.0,Child in Crisis,No Restraints,F,17.0,White Hispanic
126,17.0,Child in Crisis,No Restraints,M,17.0,White Hispanic
127,17.0,Child in Crisis,No Restraints,F,15.0,White Hispanic
128,17.0,Child in Crisis,No Restraints,F,10.0,Black
129,17.0,Child in Crisis,No Restraints,F,14.0,Black Hispanic
130,18.0,Arrested,Metal,M,17.0,Black
131,18.0,Arrested,Metal,M,18.0,White Hispanic
132,18.0,Arrested,No Restraints,M,17.0,Black
133,18.0,Arrested,Metal,M,16.0,Black
134,18.0,Arrested,Metal,M,15.0,Asian/Pacific Isl.
135,18.0,Arrested,Metal,M,14.0,Black
136,18.0,Arrested,No Restraints,M,19.0,Black
137,18.0,Child in Crisis,Metal,M,17.0,Black
138,18.0,Child in Crisis,No Restraints,F,17.0,Black Hispanic
139,18.0,Child in Crisis,No Restraints,M,17.0,Black
140,18.0,Child in Crisis,Metal,M,17.0,Black
141,18.0,Child in Crisis,No Restraints,F,13.0,Black
142,18.0,Juvenile Report,No Restraints,M,14.0,White Hispanic
143,18.0,Juvenile Report,No Restraints,F,16.0,Black Hispanic
144,18.0,Juvenile Report,No Restraints,M,17.0,White Hispanic
145,18.0,Juvenile Report,No Restraints,F,17.0,White Hispanic
146,18.0,Juvenile Report,No Restraints,M,14.0,White Hispanic
147,18.0,Juvenile Report,Metal,M,17.0,Black
148,18.0,Juvenile Report,No Restraints,M,15.0,Black Hispanic
149,18.0,Juvenile Report,No Restraints,M,15.0,Black
150,18.0,Juvenile Report,No Restraints,M,17.0,Black
151,18.0,Mitigated,No Restraints,M,15.0,Black Hispanic
152,18.0,Mitigated,No Restraints,F,15.0,Black
153,18.0,Mitigated,No Restraints,M,16.0,White Hispanic
154,18.0,Mitigated,No Restraints,M,16.0,Asian/Pacific Isl.
155,18.0,Mitigated,No Restraints,M,15.0,Black
156,18.0,Mitigated,No Restraints,M,18.0,Black
157,18.0,Mitigated,No Restraints,M,18.0,Black
158,18.0,Mitigated,No Restraints,M,10.0,White Hispanic
159,18.0,Mitigated,No Restraints,M,14.0,Black Hispanic
160,18.0,Mitigated,No Restraints,M,8.0,White
161,18.0,Mitigated,No Restraints,F,19.0,Black
162,18.0,Mitigated,No Restraints,M,,Black
163,18.0,Mitigated,No Restraints,M,20.0,Black
164,18.0,Mitigated,No Restraints,M,18.0,Black
165,18.0,Mitigated,No Restraints,M,18.0,Black
166,18.0,Mitigated,No Restraints,M,17.0,Black
167,18.0,Mitigated,No Restraints,F,,Black
168,18.0,Mitigated,No Restraints,M,19.0,Black
169,18.0,Mitigated,No Restraints,F,15.0,White Hispanic
170,18.0,Mitigated,No Restraints,F,14.0,White Hispanic
171,18.0,Mitigated,No Restraints,M,17.0,Black
172,18.0,Mitigated,No Restraints,F,20.0,Black
173,18.0,Mitigated,No Restraints,F,18.0,Black
174,18.0,Mitigated,No Restraints,F,16.0,White Hispanic
175,18.0,Summons,No Restraints,F,18.0,White Hispanic
176,18.0,Summons,Metal,F,35.0,Black
177,18.0,Summons,No Restraints,M,17.0,Black
178,19.0,Arrested,Metal,M,68.0,White
179,19.0,Child in Crisis,No Restraints,M,14.0,Black
180,19.0,Child in Crisis,No Restraints,F,12.0,Black
181,19.0,Child in Crisis,No Restraints,M,8.0,White Hispanic
182,19.0,Child in Crisis,No Restraints,M,13.0,Black
183,19.0,Child in Crisis,No Restraints,M,14.0,Black
184,19.0,Child in Crisis,No Restraints,F,12.0,Black
185,19.0,Child in Crisis,No Restraints,M,14.0,White
186,19.0,Child in Crisis,No Restraints,F,11.0,Black
187,19.0,Juvenile Report,No Restraints,M,14.0,Black
188,19.0,Mitigated,Metal,M,14.0,White
189,20.0,Arrested,Metal,M,18.0,Black
190,20.0,Arrested,No Restraints,M,17.0,White Hispanic
191,20.0,Arrested,Metal,F,15.0,White Hispanic
192,20.0,Child in Crisis,No Restraints,F,14.0,White
193,20.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
194,20.0,Child in Crisis,No Restraints,F,17.0,Asian/Pacific Isl.
195,20.0,Child in Crisis,No Restraints,F,14.0,Asian/Pacific Isl.
196,20.0,Child in Crisis,Metal,F,16.0,Black Hispanic
197,20.0,Child in Crisis,No Restraints,F,14.0,White Hispanic
198,20.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
199,20.0,Child in Crisis,No Restraints,M,17.0,White Hispanic
200,20.0,Juvenile Report,Metal,M,15.0,White Hispanic
201,20.0,Juvenile Report,Metal,M,17.0,Black Hispanic
202,20.0,Juvenile Report,No Restraints,M,15.0,Black
203,20.0,Juvenile Report,No Restraints,F,14.0,White Hispanic
204,20.0,Juvenile Report,No Restraints,F,14.0,White
205,20.0,Juvenile Report,No Restraints,F,14.0,White Hispanic
206,20.0,Juvenile Report,No Restraints,F,14.0,Black
207,20.0,Mitigated,No Restraints,M,16.0,Black
208,20.0,Mitigated,No Restraints,M,16.0,Black
209,20.0,Mitigated,No Restraints,F,15.0,White Hispanic
210,20.0,Mitigated,No Restraints,F,15.0,Black
211,20.0,Mitigated,No Restraints,F,15.0,Black
212,20.0,Mitigated,No Restraints,F,12.0,White Hispanic
213,20.0,Mitigated,No Restraints,M,14.0,Black
214,20.0,Mitigated,No Restraints,F,19.0,White Hispanic
215,20.0,Mitigated,No Restraints,F,17.0,White Hispanic
216,20.0,Mitigated,No Restraints,M,11.0,Black
217,20.0,Mitigated,No Restraints,M,16.0,White
218,20.0,Mitigated,No Restraints,F,15.0,White Hispanic
219,20.0,Mitigated,No Restraints,F,14.0,White Hispanic
220,20.0,Mitigated,No Restraints,F,17.0,Black
221,20.0,Mitigated,No Restraints,F,18.0,Black Hispanic
222,20.0,Mitigated,No Restraints,F,16.0,White Hispanic
223,20.0,Mitigated,No Restraints,F,14.0,White Hispanic
224,20.0,Mitigated,No Restraints,F,15.0,White Hispanic
225,20.0,Mitigated,No Restraints,F,14.0,White Hispanic
226,20.0,Mitigated,No Restraints,F,18.0,Black
227,20.0,Mitigated,No Restraints,F,17.0,Black
228,20.0,Mitigated,No Restraints,F,16.0,Black
229,20.0,Mitigated,No Restraints,M,14.0,Black
230,20.0,Mitigated,No Restraints,F,,Black Hispanic
231,20.0,Mitigated,No Restraints,F,,Black
232,20.0,Mitigated,No Restraints,F,,Black
233,20.0,Mitigated,No Restraints,F,,Black Hispanic
234,20.0,Summons,No Restraints,M,16.0,White
235,20.0,Summons,No Restraints,F,16.0,Black
236,20.0,Summons,No Restraints,M,16.0,Black
237,23.0,Arrested,Metal,M,17.0,Black
238,23.0,Arrested,Metal,F,25.0,Black Hispanic
239,23.0,Arrested,Metal,F,13.0,Black
240,23.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
241,23.0,Child in Crisis,No Restraints,F,16.0,White Hispanic
242,23.0,Child in Crisis,No Restraints,F,19.0,White Hispanic
243,23.0,Child in Crisis,No Restraints,M,9.0,White Hispanic
244,23.0,Child in Crisis,No Restraints,M,8.0,Black
245,23.0,Child in Crisis,No Restraints,M,8.0,Black
246,23.0,Child in Crisis,No Restraints,F,13.0,Black
247,23.0,Child in Crisis,No Restraints,M,11.0,Black
248,23.0,Child in Crisis,No Restraints,M,8.0,Black Hispanic
249,23.0,Juvenile Report,No Restraints,M,13.0,Black
250,23.0,Juvenile Report,No Restraints,M,15.0,Black Hispanic
251,23.0,Mitigated,No Restraints,M,,White
252,23.0,Mitigated,Metal,F,16.0,Black
253,23.0,Mitigated,No Restraints,M,15.0,Black
254,23.0,Mitigated,No Restraints,M,11.0,White Hispanic
255,24.0,Child in Crisis,No Restraints,F,19.0,Black
256,24.0,Child in Crisis,No Restraints,M,9.0,Black
257,24.0,Juvenile Report,No Restraints,M,13.0,Black
258,24.0,Juvenile Report,No Restraints,M,13.0,Black
259,24.0,Mitigated,No Restraints,F,19.0,Black
260,24.0,Mitigated,No Restraints,F,9.0,White Hispanic
261,24.0,Mitigated,No Restraints,M,17.0,White Hispanic
262,24.0,Mitigated,No Restraints,M,18.0,Black
263,24.0,Mitigated,No Restraints,F,11.0,White Hispanic
264,25.0,Arrested,Metal,M,18.0,Black
265,25.0,Arrested,Metal,M,18.0,Black Hispanic
266,25.0,Arrested,Metal,M,34.0,Black Hispanic
267,25.0,Arrested,Metal,M,52.0,Black
268,25.0,Child in Crisis,No Restraints,M,15.0,White Hispanic
269,25.0,Child in Crisis,No Restraints,M,13.0,Black
270,25.0,Child in Crisis,No Restraints,F,13.0,Black
271,25.0,Child in Crisis,No Restraints,M,6.0,Black
272,25.0,Child in Crisis,No Restraints,M,16.0,Black
273,25.0,Child in Crisis,No Restraints,M,18.0,White Hispanic
274,25.0,Child in Crisis,No Restraints,M,7.0,Black
275,25.0,Child in Crisis,No Restraints,M,7.0,Black
276,25.0,Child in Crisis,Metal,M,15.0,Black
277,25.0,Child in Crisis,No Restraints,F,12.0,Black Hispanic
278,25.0,Juvenile Report,No Restraints,M,13.0,White Hispanic
279,25.0,Mitigated,No Restraints,M,17.0,Black
280,25.0,Mitigated,No Restraints,F,19.0,Black
281,25.0,Mitigated,No Restraints,M,7.0,Black
282,25.0,Mitigated,No Restraints,M,8.0,White
283,25.0,Mitigated,No Restraints,M,7.0,White
284,25.0,Mitigated,No Restraints,M,6.0,White Hispanic
285,25.0,Mitigated,No Restraints,M,20.0,Black Hispanic
286,25.0,Mitigated,No Restraints,M,18.0,Black
287,25.0,Mitigated,No Restraints,M,20.0,Black
288,25.0,Mitigated,No Restraints,M,16.0,Black Hispanic
289,25.0,Mitigated,No Restraints,M,13.0,White Hispanic
290,25.0,Mitigated,No Restraints,M,13.0,White Hispanic
291,25.0,Mitigated,No Restraints,M,16.0,White Hispanic
292,26.0,Child in Crisis,No Restraints,M,10.0,Black
293,26.0,Child in Crisis,Velcro,F,11.0,Black
294,26.0,Child in Crisis,No Restraints,M,8.0,White Hispanic
295,26.0,Child in Crisis,No Restraints,M,11.0,Black
