,School Campus,Intervention Type,Scanning Type,School Related,School Hours,Enforcment By,Restraints,Force,Top Charge,SummonsCharge,Classification,Incident Location,Scanning Incident,Greater Than 21,Type Of Force
0,Abraham Lincoln HS(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,CRIM POS WEAPON,,M,On-Site,Y,,
1,Abraham Lincoln HS(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,ASSAULT,,F,On-Site,N,,
2,Abraham Lincoln HS(BS),Arrested,Full-Time,N,Y,PATROL,Yes,N,CPSP,,M,Off-Site,N,,
3,Abraham Lincoln HS(BS),Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
4,Abraham Lincoln HS(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,AGG HARASS,,M,On-Site,N,,
5,Abraham Lincoln HS(BS),Arrested,Full-Time,Y,Y,PATROL,Yes,N,RESIST ARREST,,M,On-Site,N,,
6,Academy for Conservation & the Environment(BS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
7,Academy for Environmental Leadership(BN),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,,
8,Academy for Environmental Leadership(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"IMITATION PISTOL/AIR RIFLE, POSS. OF",V,On-Site,Y,,
9,Academy for Software Engineering(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
10,Academy for Software Engineering(MS),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,,
11,ACADEMY OF URBAN PLANNING(BN) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,,
12,ACORN COMMUNITY HS(BN) ,Arrested,Non-Scanning,Y,Y,PATROL,Yes,N,ASSAULT,,M,On-Site,N,,
13,ACORN HS FOR SOCIAL JUSTICE(BN),Juvenile Report,Non-Scanning,Y,Y,SSA,Yes,N,,,,On-Site,N,,
14,ADLAI STEVENSON HS GED(XE) ,Summons,Full-Time,Y,Y,PATROL,Yes,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
15,Adlai Stevenson HS(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
16,Adlai Stevenson HS(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,POSS. OF KNIFE,v,On-Site,Y,,
17,Adlai Stevenson HS(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
18,Adlai Stevenson HS(XE) ,Summons,Full-Time,Y,Y,UTF,Yes,N,,DISCON: FIGHTING,V,On-Site,N,,
19,Adlai Stevenson HS(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
20,Adlai Stevenson HS(XE) ,Arrested,Full-Time,Y,Y,SSA,Yes,N,CPCS,,M,On-Site,N,,
21,Adlai Stevenson HS(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,,
22,ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,Child in Crisis,Full-Time,Y,Y,,Yes,,,,,,,,
23,Alternate Learning Center of Prospect Place(BN),Juvenile Report,Random,Y,Y,SSA,No Restraints,N,,,V,On-Site,Y,,
24,ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Juvenile Report,Full-Time,Y,N,UTF,No Restraints,N,,,M,On-Site,N,,
25,ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Juvenile Report,Full-Time,Y,N,UTF,No Restraints,N,,,M,On-Site,N,,
26,ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),Arrested,Full-Time,N,Y,DB,Yes,N,ROBBERY,,F,Off-Site,N,,
27,Alternative Learning Center@John Jay Campus,Summons,Full-Time,Y,Y,PATROL,Yes,N,,DISORDERLY CONDUCT,V,On-Site,N,,
28,Andries Hudde JHS(BS),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,,
29,Andries Hudde JHS(BS),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,,
30,AP RANDOLPH CAMPUS HS(MN) ,Arrested,Non-Scanning,Y,Y,DB,Yes,N,ASSAULT,,F,On-Site,N,,
31,AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,Unannounced,Y,Y,UTF,No Restraints,N,,,,On-Site,Y,,
32,AP RANDOLPH CAMPUS HS(MN) ,Summons,Non-Scanning,Y,Y,PATROL,Yes,N,,DISCON: CREATE HAZARDOUS CONDITION,V,On-Site,N,,
33,Aspirations Diploma Plus HS(BN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,,
34,Aspirations Diploma Plus HS(BN),Arrested,Full-Time,N,Y,PATROL,Yes,N,RAPE,,F,Off-Site,N,,
