,School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
0,47 THE AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL(MS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
1,Abraham Lincoln HS(BS),Summons,On-Site,No,Full-Time,Y,Y,Y,UTF,No Restraints,N,None,,POSS. OF KNIFE,V
2,Abraham Lincoln HS(BS),Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,PATROL,Metal,N,None,,,M
3,Abraham Lincoln HS(BS),Arrested,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,Y,Physical Force,ASSAULT,,F
4,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
5,Abraham Lincoln HS(BS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
6,Abraham Lincoln HS(BS),Juvenile Report,Off-Site,No,Full-Time,N,N,N,TRANSIT,No Restraints,N,None,,,M
7,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
8,Abraham Lincoln HS(BS),Summons,On-Site,No,Full-Time,Y,Y,Y,PATROL,No Restraints,N,None,,POSS. OF KNIFE,V
9,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
10,Abraham Lincoln HS(BS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
11,Abraham Lincoln HS(BS),Arrested,Off-Site,No,Full-Time,N,N,Y,PATROL,Metal,N,None,ASSAULT,,F
12,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
13,Abraham Lincoln HS(BS),Juvenile Report,Off-Site,No,Full-Time,N,N,N,PATROL,Metal,N,None,,,M
14,Abraham Lincoln HS(BS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
15,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
16,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
17,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
18,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
19,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
20,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
21,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
22,Abraham Lincoln HS(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
23,Abraham Lincoln HS(BS),Child in Crisis,On-Site,No,Full-Time,N,Y,Y,,No Restraints,N,None,,,
24,Abraham Lincoln HS(BS),Arrested,On-Site,No,Full-Time,N,Y,Y,SSA,Metal,N,None,ASSAULT,,M
25,Academy for Careers in Television and Film(QN),Juvenile Report,Off-Site,No,Non-Scanning,N,N,Y,PATROL,No Restraints,N,None,,,M
26,Academy for College Preparation & Career Exploration(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
27,Academy for College Preparation & Career Exploration(BS),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
