Borough,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Bronx,2016-17,"241,776","14,825","17,974","19,579","19,611","18,943","18,505","17,824","17,207","16,610","16,436","18,551","17,140","13,948","14,623","116,584",48.2%,"125,190",51.8%,"11,109",4.6%,"66,913",27.7%,"149,741",61.9%,797,0.3%,"2,110",0.9%,"10,381",4.3%,725,0.3%,"55,462",22.9%,"41,129",17.0%,"197,520",81.7%,77.4%
Bronx,2017-18,"239,955","14,948","17,812","18,598","19,008","18,940","18,535","18,173","17,152","17,039","16,604","17,860","16,643","14,038","14,605","115,867",48.3%,"124,084",51.7%,"11,458",4.8%,"65,599",27.3%,"148,849",62.0%,928,0.4%,"2,154",0.9%,"10,531",4.4%,436,0.2%,"55,719",23.2%,"41,316",17.2%,"208,334",86.8%,85.7%
Bronx,2018-19,"236,267","15,105","17,259","18,071","17,962","18,318","18,426","18,026","17,405","16,921","16,833","17,118","16,289","13,804","14,730","114,014",48.3%,"122,253",51.7%,"11,608",4.9%,"63,949",27.1%,"146,742",62.1%,"1,016",0.4%,"2,272",1.0%,"10,219",4.3%,461,0.2%,"55,847",23.6%,"40,055",17.0%,"203,040",85.9%,85.4%
Bronx,2019-20,"235,448","17,990","17,103","17,680","17,598","17,462","17,981","18,216","17,498","17,260","16,785","17,243","15,699","13,611","13,322","113,952",48.4%,"121,496",51.6%,"11,739",5.0%,"63,136",26.8%,"145,870",62.0%,"1,125",0.5%,"2,208",0.9%,"10,003",4.2%,"1,367",0.6%,"54,899",23.3%,"37,509",15.9%,"202,976",86.2%,86.8%
Bronx,2020-21,"227,224","14,769","15,468","16,863","17,031","17,016","16,906","17,579","17,401","17,160","17,061","16,183","16,132","13,909","13,746","109,949",48.4%,"117,275",51.6%,"11,429",5.0%,"60,851",26.8%,"140,947",62.0%,"1,331",0.6%,"2,206",1.0%,"9,523",4.2%,937,0.4%,"53,144",23.4%,"37,190",16.4%,"194,432",85.6%,85.8%
Brooklyn,2016-17,"344,408","24,126","25,680","26,405","26,928","26,474","25,928","24,746","24,154","23,291","22,933","25,423","25,203","21,052","22,065","166,334",48.3%,"178,072",51.7%,"54,910",15.9%,"127,475",37.0%,"95,690",27.8%,"2,884",0.8%,"2,630",0.8%,"59,440",17.3%,"1,379",0.4%,"66,309",19.3%,"44,335",12.9%,"244,956",71.1%,63.2%
Brooklyn,2017-18,"342,622","23,277","25,578","25,928","25,812","26,253","25,851","25,690","24,166","23,883","23,168","25,220","24,751","20,692","22,353","165,532",48.3%,"177,070",51.7%,"55,732",16.3%,"123,782",36.1%,"95,225",27.8%,"3,238",0.9%,"2,760",0.8%,"60,569",17.7%,"1,316",0.4%,"67,444",19.7%,"44,390",13.0%,"261,947",76.5%,73.7%
Brooklyn,2018-19,"339,985","24,104","24,074","25,562","25,159","25,060","25,561","25,307","25,044","23,912","23,663","25,112","24,739","20,476","22,212","164,322",48.3%,"175,662",51.7%,"56,134",16.5%,"119,917",35.3%,"94,884",27.9%,"3,651",1.1%,"2,787",0.8%,"61,262",18.0%,"1,350",0.4%,"68,086",20.0%,"42,678",12.6%,"255,263",75.1%,72.8%
Brooklyn,2019-20,"342,332","28,420","24,224","24,232","24,979","24,615","24,533","25,172","24,574","24,714","23,736","25,329","24,489","20,942","22,373","165,538",48.4%,"176,794",51.6%,"57,027",16.7%,"117,272",34.3%,"96,403",28.2%,"4,084",1.2%,"2,819",0.8%,"62,132",18.1%,"2,595",0.8%,"67,756",19.8%,"41,294",12.1%,"254,914",74.5%,74.3%
Brooklyn,2020-21,"330,905","24,119","22,249","23,447","23,202","23,974","23,882","23,747","24,287","24,144","24,316","24,819","24,821","21,686","22,212","159,764",48.3%,"171,141",51.7%,"55,957",16.9%,"111,976",33.8%,"93,778",28.3%,"4,790",1.4%,"2,831",0.9%,"59,204",17.9%,"2,369",0.7%,"65,784",19.9%,"42,661",12.9%,"243,307",73.5%,72.5%
