DBN,School Name,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,2016-17,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,46.6%,95,53.4%,14,7.9%,51,28.7%,105,59.0%,3,1.7%,1,0.6%,4,2.2%,0,0.0%,51,28.7%,12,6.7%,152,85.4%,88.2%
01M015,P.S. 015 Roberto Clemente,2017-18,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.1%,91,47.9%,20,10.5%,52,27.4%,110,57.9%,1,0.5%,1,0.5%,6,3.2%,0,0.0%,49,25.8%,8,4.2%,161,84.7%,89.0%
01M015,P.S. 015 Roberto Clemente,2018-19,174,13,20,33,30,30,20,28,0,0,0,0,0,0,0,85,48.9%,89,51.1%,24,13.8%,48,27.6%,95,54.6%,0,0.0%,1,0.6%,6,3.4%,0,0.0%,39,22.4%,8,4.6%,147,84.5%,88.8%
01M015,P.S. 015 Roberto Clemente,2019-20,190,14,29,28,38,33,29,19,0,0,0,0,0,0,0,94,49.5%,96,50.5%,27,14.2%,56,29.5%,96,50.5%,0,0.0%,2,1.1%,9,4.7%,0,0.0%,46,24.2%,17,8.9%,155,81.6%,86.7%
01M015,P.S. 015 Roberto Clemente,2020-21,193,17,29,29,27,30,32,29,0,0,0,0,0,0,0,101,52.3%,92,47.7%,26,13.5%,53,27.5%,102,52.8%,1,0.5%,0,0.0%,11,5.7%,0,0.0%,43,22.3%,21,10.9%,158,81.9%,85.6%
01M019,P.S. 019 Asher Levy,2016-17,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,46.9%,144,53.1%,24,8.9%,51,18.8%,180,66.4%,1,0.4%,0,0.0%,15,5.5%,0,0.0%,88,32.5%,9,3.3%,207,76.4%,57.8%
01M019,P.S. 019 Asher Levy,2017-18,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.4%,143,55.6%,23,8.9%,49,19.1%,166,64.6%,3,1.2%,0,0.0%,16,6.2%,0,0.0%,90,35.0%,8,3.1%,198,77.0%,67.9%
01M019,P.S. 019 Asher Levy,2018-19,249,10,30,39,43,41,44,42,0,0,0,0,0,0,0,114,45.8%,135,54.2%,14,5.6%,52,20.9%,156,62.7%,8,3.2%,1,0.4%,18,7.2%,0,0.0%,102,41.0%,8,3.2%,183,73.5%,68.7%
01M019,P.S. 019 Asher Levy,2019-20,236,16,25,27,39,45,42,42,0,0,0,0,0,0,0,110,46.6%,126,53.4%,11,4.7%,49,20.8%,148,62.7%,8,3.4%,1,0.4%,19,8.1%,0,0.0%,94,39.8%,8,3.4%,176,74.6%,70.4%
01M019,P.S. 019 Asher Levy,2020-21,212,13,23,25,27,38,44,42,0,0,0,0,0,0,0,99,46.7%,113,53.3%,13,6.1%,41,19.3%,130,61.3%,7,3.3%,1,0.5%,17,8.0%,3,1.4%,83,39.2%,9,4.2%,151,71.2%,69.0%
01M020,P.S. 020 Anna Silver,2016-17,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,49.1%,275,50.9%,175,32.4%,52,9.6%,264,48.9%,15,2.8%,7,1.3%,27,5.0%,0,0.0%,116,21.5%,93,17.2%,315,58.3%,67.7%
01M020,P.S. 020 Anna Silver,2017-18,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.1%,253,50.9%,147,29.6%,51,10.3%,264,53.1%,14,2.8%,4,0.8%,16,3.2%,1,0.2%,118,23.7%,86,17.3%,366,73.6%,80.0%
01M020,P.S. 020 Anna Silver,2018-19,481,42,61,69,76,67,90,76,0,0,0,0,0,0,0,239,49.7%,242,50.3%,138,28.7%,66,13.7%,239,49.7%,12,2.5%,3,0.6%,22,4.6%,1,0.2%,117,24.3%,63,13.1%,326,67.8%,75.4%
01M020,P.S. 020 Anna Silver,2019-20,464,41,63,61,71,76,65,87,0,0,0,0,0,0,0,233,50.2%,231,49.8%,120,25.9%,58,12.5%,239,51.5%,10,2.2%,5,1.1%,31,6.7%,1,0.2%,106,22.8%,61,13.1%,354,76.3%,78.4%
01M020,P.S. 020 Anna Silver,2020-21,412,37,58,52,60,66,74,65,0,0,0,0,0,0,0,201,48.8%,211,51.2%,102,24.8%,55,13.3%,215,52.2%,6,1.5%,3,0.7%,30,7.3%,1,0.2%,90,21.8%,49,11.9%,292,70.9%,76.2%
