,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
0,01M015,P.S. 015 Roberto Clemente,Elementary,1.0,3,3,3,3,3,3,3,0,0,3,0,3,3,0
1,01M020,P.S. 020 Anna Silver,Elementary,1.0,3,3,3,3,3,3,3,3,0,0,0,3,3,0
2,01M063,The STAR Academy - P.S.63,Elementary,1.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
3,01M064,P.S. 064 Robert Simon,Elementary,1.0,3,3,3,3,3,3,3,6,20,17,0,3,3,0
4,01M110,P.S. 110 Florence Nightingale,Elementary,1.0,3,3,3,3,3,3,3,3,10,3,0,3,3,0
5,01M142,P.S. 142 Amalia Castro,Elementary,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
6,01M184,P.S. 184m Shuang Wen,K-8,1.0,3,3,3,3,3,3,3,3,3,3,0,3,3,0
7,01M292,Orchard Collegiate Academy,High school,1.0,3,3,3,3,3,3,3,8,30,3,0,3,3,0
8,01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,1.0,3,3,3,3,3,3,3,9,13,7,0,3,3,0
9,01M315,The East Village Community School,Elementary,1.0,3,3,3,3,3,3,3,0,3,0,0,3,3,0
10,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
11,01M361,The Children's Workshop School,Elementary,1.0,3,3,3,3,3,3,3,36,22,17,0,3,3,0
12,01M363,Neighborhood School,Elementary,1.0,3,3,3,3,3,3,3,6,0,3,0,3,3,0
13,01M364,Earth School,Elementary,1.0,3,3,3,3,3,3,3,3,3,3,0,3,3,0
14,01M378,School for Global Leaders,Junior High-Intermediate-Middle,1.0,3,3,3,3,3,3,3,0,6,0,0,3,3,0
15,01M458,Forsyth Satellite Academy,High school,1.0,3,3,3,3,3,3,3,15,13,3,0,3,3,0
16,01M515,Lower East Side Preparatory High School,High school,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
17,01M696,Bard High School Early College,High school,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
18,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,1.0,3,3,3,3,3,3,3,0,3,0,0,3,3,0
19,02M001,P.S. 001 Alfred E. Smith,Elementary,2.0,3,3,3,3,3,3,3,14,6,16,0,3,3,0
20,02M002,P.S. 002 Meyer London,Elementary,2.0,3,3,3,3,3,3,3,8,0,8,0,3,3,0
21,02M003,P.S. 003 Charrette School,Elementary,2.0,3,3,3,3,3,3,3,12,0,17,0,3,3,0
22,02M006,P.S. 006 Lillie D. Blake,Elementary,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,0
23,02M011,P.S. 011 William T. Harris,Elementary,2.0,3,3,3,3,3,3,3,16,3,3,0,3,3,0
24,02M033,P.S. 033 Chelsea Prep,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
25,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,2.0,3,3,3,3,3,3,3,25,0,7,0,3,3,0
26,02M041,P.S. 041 Greenwich Village,Elementary,2.0,3,3,3,3,3,3,3,17,3,14,0,6,7,0
27,02M042,P.S. 042 Benjamin Altman,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
28,02M051,P.S. 051 Elias Howe,Elementary,2.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
29,02M059,P.S. 059 Beekman Hill International,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
30,02M077,P.S. 77 Lower Lab School,Elementary,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
31,02M089,P.S. 89,Elementary,2.0,3,3,3,3,3,3,3,3,8,0,0,3,3,0
32,02M111,P.S. 111 Adolph S. Ochs,Elementary,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
33,02M116,P.S. 116 Mary Lindley Murray,Elementary,2.0,3,3,3,3,3,3,3,3,10,3,0,3,3,0
