,DBN,school_name,school_category,district_code,american_indian_or_alaskan_native,asian,black,hispanic,white,multi_racial,unknown
0,01M015,P.S. 015 Roberto Clemente,elementary,1,3,3,3,3,3,3,3
1,01M019,P.S. 019 Asher Levy,elementary,1,3,3,3,3,3,3,3
2,01M020,P.S. 020 Anna Silver,elementary,1,3,3,3,3,3,3,3
3,01M034,P.S. 034 Franklin D. Roosevelt,k-8,1,3,3,3,3,3,3,3
4,01M063,The STAR Academy - P.S.63,elementary,1,3,3,3,3,3,3,3
5,01M064,P.S. 064 Robert Simon,elementary,1,3,3,3,3,3,3,3
6,01M110,P.S. 110 Florence Nightingale,elementary,1,3,3,3,3,3,3,3
7,01M134,P.S. 134 Henrietta Szold,elementary,1,3,3,3,3,3,3,3
8,01M140,P.S. 140 Nathan Straus,k-8,1,3,3,3,3,3,3,3
9,01M142,P.S. 142 Amalia Castro,elementary,1,3,3,3,3,3,3,3
10,01M184,P.S. 184m Shuang Wen,k-8,1,3,3,3,3,3,3,3
11,01M188,P.S. 188 The Island School,k-8,1,3,3,16,12,3,3,3
12,01M292,Orchard Collegiate Academy,high school,1,3,3,3,3,3,3,3
13,01M315,The East Village Community School,elementary,1,3,3,3,3,3,3,3
14,01M332,University Neighborhood Middle School,junior high-intermediate-middle,1,3,3,3,3,3,3,3
15,01M361,The Children's Workshop School,elementary,1,3,3,3,3,3,3,3
16,01M363,Neighborhood School,elementary,1,3,3,3,3,3,3,3
17,01M364,Earth School,elementary,1,3,3,3,3,3,3,3
18,01M378,School for Global Leaders,junior high-intermediate-middle,1,3,3,8,3,3,3,3
19,01M448,University Neighborhood High School,high school,1,3,3,3,3,3,3,3
20,01M450,East Side Community School,secondary school,1,3,3,3,3,3,3,3
21,01M458,Forsyth Satellite Academy,high school,1,3,3,3,3,3,3,3
22,01M509,Marta Valle High School,high school,1,3,3,3,3,3,3,3
23,01M515,Lower East Side Preparatory High School,high school,1,3,3,3,3,3,3,3
24,01M539,"New Explorations into Science, Technology and Math",k-12 all grades,1,3,3,3,3,3,3,3
25,01M650,Cascades High School,high school,1,3,3,3,3,3,3,3
26,01M696,Bard High School Early College,high school,1,3,3,3,3,3,3,3
27,01M839,Tompkins Square Middle School,junior high-intermediate-middle,1,3,3,3,3,3,3,3
28,02M001,P.S. 001 Alfred E. Smith,elementary,2,3,3,3,3,3,3,3
29,02M002,P.S. 002 Meyer London,elementary,2,3,3,3,3,3,3,3
30,02M003,P.S. 003 Charrette School,elementary,2,3,3,3,3,3,3,3
31,02M006,P.S. 006 Lillie D. Blake,elementary,2,3,3,3,3,3,3,3
32,02M011,P.S. 011 William T. Harris,elementary,2,3,3,3,3,3,3,3
33,02M033,P.S. 033 Chelsea Prep,elementary,2,3,3,3,3,3,3,3
34,02M040,P.S. 040 Augustus Saint-Gaudens,elementary,2,3,3,3,3,3,3,3
35,02M041,P.S. 041 Greenwich Village,elementary,2,3,3,3,3,3,3,3
36,02M042,P.S. 042 Benjamin Altman,elementary,2,3,3,3,3,3,3,3
37,02M047,47 The American Sign Language and English Secondar,high school,2,3,3,3,3,3,3,3
38,02M051,P.S. 051 Elias Howe,elementary,2,3,3,3,3,3,3,3
