,year,building_code,dbn,location_name,address,borough,register,major_crimes,other_crimes,non_criminal,property_crimes,violent_crimes,population_group,population_range,latitude,longitude
0,2013-14,K001,15K001,P.S. 001 The Bergen,309 47 STREET,K,"1,277",0.0,2.0,1.0,1.0,0.0,7C,1251-1500,40.649042,-74.012289
1,2013-14,K002,17K002,Parkside Preparatory Academy,655 PARKSIDE AVENUE,K,479,,,,,,3C,251-500,40.656183,-73.951583
2,2013-14,K002,75K141,P.S. K141,655 PARKSIDE AVENUE,K,397,,,,,,3C,251-500,40.656183,-73.951583
3,2013-14,K002,84K704      ,Explore Charter School,655 PARKSIDE AVENUE,K,,,,,,,,,40.656183,-73.951583
4,2013-14,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,655 PARKSIDE AVENUE,K,876,1.0,5.0,2.0,2.0,4.0,5C,751-1000,40.656183,-73.951583
5,2013-14,K003,13K003,P.S. 003 The Bedford Village,50 JEFFERSON AVENUE,K,513,2.0,0.0,0.0,2.0,0.0,4C,501-750,40.682663,-73.955338
6,2013-14,K005,16K005,P.S. 005 Dr. Ronald Mcnair,820 HANCOCK STREET,K,312,1.0,1.0,0.0,2.0,0.0,3C,251-500,40.685695,-73.922463
7,2013-14,K006,17K006,P.S. 006,43 SNYDER AVENUE,K,714,0.0,1.0,2.0,0.0,0.0,4C,501-750,40.64859,-73.957138
8,2013-14,K007,19K007,P.S. 007 Abraham Lincoln,858 JAMAICA AVENUE,K,"1,073",0.0,1.0,0.0,0.0,0.0,6C,1001-1250,40.689697,-73.873109
9,2013-14,K008,13K008,P.S. 008 Robert Fulton,37 HICKS STREET,K,848,0.0,0.0,0.0,0.0,0.0,5C,751-1000,40.70071,-73.993241
10,2013-14,K009,13K009,P.S. 009 Teunis G. Bergen,80 UNDERHILL AVENUE,K,722,,,,,,4C,501-750,40.678297,-73.965541
11,2013-14,K009,84K780      ,Brooklyn East Collegiate Charter School,80 UNDERHILL AVENUE,K,,,,,,,,,40.678297,-73.965541
12,2013-14,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,80 UNDERHILL AVENUE,K,722,0.0,1.0,1.0,1.0,0.0,4C,501-750,40.678297,-73.965541
13,2013-14,K010,15K010,"Magnet School of Math, Science and Design Technolo",511 7 AVENUE,K,921,0.0,1.0,0.0,0.0,1.0,5C,751-1000,40.661061,-73.986534
14,2013-14,K011,13K011,P.S. 011 Purvis J. Behan,419 WAVERLY AVENUE,K,732,1.0,0.0,1.0,1.0,0.0,4C,501-750,40.685491,-73.966291
15,2013-14,K012,17K484,Ronald Edmonds Learning Center II,430 HOWARD AVENUE,K,146,,,,,,2C,1-250,40.673073,-73.919594
16,2013-14,K107,15K107,P.S. 107 John W. Kimball,1301 8 AVENUE,K,578,0.0,1.0,0.0,1.0,0.0,4C,501-750,40.663251,-73.981289
17,2013-14,K012,17K012,Dr. Jacqueline Peek-Davis School,430 HOWARD AVENUE,K,211,,,,,,2C,1-250,40.673073,-73.919594
18,2013-14,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,430 HOWARD AVENUE,K,357,2.0,3.0,3.0,5.0,0.0,3C,251-500,40.673073,-73.919594
19,2013-14,K013,19K013,P.S. 013 Roberto Clemente,557 PENNSYLVANIA AVENUE,K,494,,,,,,3C,251-500,40.663673,-73.893754
20,2013-14,K013,84K358      ,Achievement First East New York Charter School,557 PENNSYLVANIA AVENUE,K,,,,,,,,,40.663673,-73.893754
21,2013-14,K013,,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,557 PENNSYLVANIA AVENUE,K,494,0.0,1.0,4.0,0.0,1.0,3C,251-500,40.663673,-73.893754
22,2013-14,K014,22K014,J.H.S. 014 Shell Bank,2424 BATCHELDER STREET,K,558,0.0,4.0,2.0,3.0,0.0,4C,501-750,40.593521,-73.937672
