DBN,School_Name,Attn_Pct,Online_Presence,In_Person_Presence,Borough,District_Code,Attn_Date_YMD
01M015,P.S. 015 ROBERTO CLEMENTE,91.25,89.02,93.06,MANHATTAN,1,2021-06-02
01M019,P.S. 019 ASHER LEVY,93.23,94.08,89.47,MANHATTAN,1,2021-06-02
01M020,P.S. 020 ANNA SILVER,92.64,91.8,95.14,MANHATTAN,1,2021-06-02
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,90.32,87.56,95.74,MANHATTAN,1,2021-06-02
01M063,THE STAR ACADEMY P.S.63,93.33,90.0,98.75,MANHATTAN,1,2021-06-02
01M064,P.S. 064 ROBERT SIMON,83.11,80.73,85.34,MANHATTAN,1,2021-06-02
01M110,P.S. 110 FLORENCE NIGHTINGALE,97.02,98.35,,MANHATTAN,1,2021-06-02
01M134,P.S. 134 HENRIETTA SZOLD,89.8,92.0,87.73,MANHATTAN,1,2021-06-02
01M140,P.S. 140 NATHAN STRAUS,78.91,76.22,85.04,MANHATTAN,1,2021-06-02
01M142,P.S. 142 AMALIA CASTRO,89.39,87.07,92.1,MANHATTAN,1,2021-06-02
01M184,P.S. 184M SHUANG WEN,96.66,96.72,96.57,MANHATTAN,1,2021-06-02
01M188,P.S. 188 THE ISLAND SCHOOL,83.24,79.87,85.47,MANHATTAN,1,2021-06-02
01M292,ORCHARD COLLEGIATE ACADEMY,75,75.17,50.0,MANHATTAN,1,2021-06-02
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,92.28,93.54,91.7,MANHATTAN,1,2021-06-02
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,74.87,74.49,75.86,MANHATTAN,1,2021-06-02
01M361,THE CHILDREN S WORKSHOP SCHOOL,89.19,82.95,91.95,MANHATTAN,1,2021-06-02
01M363,NEIGHBORHOOD SCHOOL,93.98,93.78,94.52,MANHATTAN,1,2021-06-02
01M364,EARTH SCHOOL,93.23,94.11,90.9,MANHATTAN,1,2021-06-02
01M378,SCHOOL FOR GLOBAL LEADERS,94.47,92.64,100.0,MANHATTAN,1,2021-06-02
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,77.32,77.32,,MANHATTAN,1,2021-06-02
01M450,EAST SIDE COMMUNITY SCHOOL,100,100.0,,MANHATTAN,1,2021-06-02
01M458,FORSYTH SATELLITE ACADEMY,INC,,,MANHATTAN,1,2021-06-02
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,45.49,,45.49,MANHATTAN,1,2021-06-02
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",95.36,95.0,96.29,MANHATTAN,1,2021-06-02
01M650,CASCADES HIGH SCHOOL,40.64,35.0,93.33,MANHATTAN,1,2021-06-02
01M696,BARD HIGH SCHOOL EARLY COLLEGE,96.83,97.71,92.45,MANHATTAN,1,2021-06-02
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,95.72,96.94,89.28,MANHATTAN,1,2021-06-02
02M001,P.S. 001 ALFRED E. SMITH,93.72,96.1,89.41,MANHATTAN,2,2021-06-02
02M002,P.S. 002 MEYER LONDON,INC,,,MANHATTAN,2,2021-06-02
02M003,P.S. 003 CHARRETTE SCHOOL,96.24,97.1,95.48,MANHATTAN,2,2021-06-02
02M006,P.S. 006 LILLIE D. BLAKE,97.08,94.89,97.53,MANHATTAN,2,2021-06-02
02M011,P.S. 011 WILLIAM T. HARRIS,INC,,,MANHATTAN,2,2021-06-02
02M033,P.S. 033 CHELSEA PREP,92.53,87.05,96.3,MANHATTAN,2,2021-06-02
02M040,P.S. 040 AUGUSTUS SAINT GAUDENS,95.21,91.3,96.13,MANHATTAN,2,2021-06-02
02M041,P.S. 041 GREENWICH VILLAGE,97.69,97.07,97.99,MANHATTAN,2,2021-06-02
02M042,P.S. 042 BENJAMIN ALTMAN,96.85,97.71,95.26,MANHATTAN,2,2021-06-02
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,INC,,,MANHATTAN,2,2021-06-02
02M051,P.S. 051 ELIAS HOWE,87.71,86.84,90.16,MANHATTAN,2,2021-06-02
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,95.59,92.8,96.49,MANHATTAN,2,2021-06-02
02M077,P.S. 77 LOWER LAB SCHOOL,97.97,100.0,97.38,MANHATTAN,2,2021-06-02
02M089,P.S. 89,96.93,100.0,96.25,MANHATTAN,2,2021-06-02
02M104,J.H.S. 104 SIMON BARUCH,95.53,95.49,95.67,MANHATTAN,2,2021-06-02
02M111,P.S. 111 ADOLPH S. OCHS,88.35,86.06,90.72,MANHATTAN,2,2021-06-02
02M114,EAST SIDE MIDDLE SCHOOL,97.44,99.31,93.57,MANHATTAN,2,2021-06-02
02M116,P.S. 116 MARY LINDLEY MURRAY,89.13,87.3,89.96,MANHATTAN,2,2021-06-02
02M124,P.S. 124 YUNG WING,99.07,99.34,98.46,MANHATTAN,2,2021-06-02
02M126,P.S. 126 JACOB AUGUST RIIS,96.02,96.59,94.03,MANHATTAN,2,2021-06-02
02M130,P.S. 130 HERNANDO DE SOTO,99.32,99.24,100.0,MANHATTAN,2,2021-06-02
02M131,M.S. 131,92.09,92.42,90.9,MANHATTAN,2,2021-06-02
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,77.44,77.44,,MANHATTAN,2,2021-06-02
02M139,STEPHEN T. MATHER BUILDING ARTS CRAFTSMANSHIP HI,64.67,64.77,64.49,MANHATTAN,2,2021-06-02
02M150,P.S. 150,INC,,,MANHATTAN,2,2021-06-02
02M151,YORKVILLE COMMUNITY SCHOOL,94.93,97.36,93.53,MANHATTAN,2,2021-06-02
02M158,P.S. 158 BAYARD TAYLOR,94.7,94.25,94.77,MANHATTAN,2,2021-06-02
02M167,J.H.S. 167 ROBERT F. WAGNER,87.15,85.03,90.96,MANHATTAN,2,2021-06-02
02M177,YORKVILLE EAST MIDDLE SCHOOL,90.33,89.8,91.35,MANHATTAN,2,2021-06-02
02M183,P.S. 183 ROBERT L. STEVENSON,96.75,97.43,96.63,MANHATTAN,2,2021-06-02
02M198,P.S. 198 ISADOR E. IDA STRAUS,97.28,100.0,96.1,MANHATTAN,2,2021-06-02
02M212,P.S. 212 MIDTOWN WEST,96.51,96.07,97.32,MANHATTAN,2,2021-06-02
02M217,P.S. I.S. 217 ROOSEVELT ISLAND,93.14,94.47,92.59,MANHATTAN,2,2021-06-02
02M225,ELLA BAKER SCHOOL,96.97,92.85,100.0,MANHATTAN,2,2021-06-02
02M234,P.S. 234 INDEPENDENCE SCHOOL,95.31,97.8,94.67,MANHATTAN,2,2021-06-02
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,96.95,96.13,99.01,MANHATTAN,2,2021-06-02
02M260,THE CLINTON SCHOOL,INC,,,MANHATTAN,2,2021-06-02
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",97.64,97.76,97.46,MANHATTAN,2,2021-06-02
02M276,BATTERY PARK CITY SCHOOL,98.69,98.64,98.72,MANHATTAN,2,2021-06-02
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,INC,,,MANHATTAN,2,2021-06-02
02M281,THE RIVER SCHOOL,95.49,93.69,96.09,MANHATTAN,2,2021-06-02
02M282,URBAN ASSEMBLY MAKER ACADEMY,70.16,65.28,100.0,MANHATTAN,2,2021-06-02
02M288,FOOD AND FINANCE HIGH SCHOOL,81.86,82.59,69.56,MANHATTAN,2,2021-06-02
02M289,I.S. 289,99.24,99.02,100.0,MANHATTAN,2,2021-06-02
02M290,P.S. 290 MANHATTAN NEW SCHOOL,96.17,95.23,96.47,MANHATTAN,2,2021-06-02
02M294,ESSEX STREET ACADEMY,79.94,80.39,77.94,MANHATTAN,2,2021-06-02
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,68.58,68.62,66.66,MANHATTAN,2,2021-06-02
02M297,M.S. 297,93.26,92.34,96.61,MANHATTAN,2,2021-06-02
02M298,PACE HIGH SCHOOL,73.44,,73.44,MANHATTAN,2,2021-06-02
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",88.35,87.83,90.0,MANHATTAN,2,2021-06-02
02M303,"FACING HISTORY SCHOOL, THE",67.18,64.95,71.69,MANHATTAN,2,2021-06-02
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",59.93,59.93,,MANHATTAN,2,2021-06-02
02M308,LOWER MANHATTAN ARTS ACADEMY,60.47,61.85,54.68,MANHATTAN,2,2021-06-02
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,96.65,96.42,97.84,MANHATTAN,2,2021-06-02
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION",57.47,57.47,,MANHATTAN,2,2021-06-02
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",50.36,50.36,,MANHATTAN,2,2021-06-02
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,96.56,95.61,97.02,MANHATTAN,2,2021-06-02
02M343,THE PECK SLIP SCHOOL,98.04,100.0,97.42,MANHATTAN,2,2021-06-02
02M347,THE 47 AMERICAN SIGN LANGUAGE ENGLISH LOWER SCHO,87.11,79.68,90.76,MANHATTAN,2,2021-06-02
02M374,GRAMERCY ARTS HIGH SCHOOL,96.15,95.76,100.0,MANHATTAN,2,2021-06-02
02M376,NYC ISCHOOL,91.91,91.7,95.83,MANHATTAN,2,2021-06-02
02M391,DISTRICT 2 PRE K CENTER,91.86,86.4,93.46,MANHATTAN,2,2021-06-02
02M392,MANHATTAN BUSINESS ACADEMY,INC,,,MANHATTAN,2,2021-06-02
02M393,BUSINESS OF SPORTS SCHOOL,65.07,70.51,23.52,MANHATTAN,2,2021-06-02
02M394,EMMA LAZARUS HIGH SCHOOL,82.12,81.34,83.56,MANHATTAN,2,2021-06-02
02M397,SPRUCE STREET SCHOOL,94.93,95.32,94.61,MANHATTAN,2,2021-06-02
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,64.8,63.49,70.45,MANHATTAN,2,2021-06-02
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,91.44,91.05,100.0,MANHATTAN,2,2021-06-02
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,93.73,93.73,,MANHATTAN,2,2021-06-02
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,81.37,80.82,84.04,MANHATTAN,2,2021-06-02
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,71.34,76.96,53.44,MANHATTAN,2,2021-06-02
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,83.81,86.25,66.66,MANHATTAN,2,2021-06-02
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,91.12,89.32,97.48,MANHATTAN,2,2021-06-02
02M414,N.Y.C. MUSEUM SCHOOL,98.61,98.58,100.0,MANHATTAN,2,2021-06-02
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,93.22,98.28,63.75,MANHATTAN,2,2021-06-02
02M418,MILLENNIUM HIGH SCHOOL,96.82,96.82,,MANHATTAN,2,2021-06-02
02M419,LANDMARK HIGH SCHOOL,55.49,63.29,31.81,MANHATTAN,2,2021-06-02
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,INC,,,MANHATTAN,2,2021-06-02
02M422,QUEST TO LEARN,71.62,68.26,79.54,MANHATTAN,2,2021-06-02
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,INC,,,MANHATTAN,2,2021-06-02
