,SBHC Sponsor,SBHC Campus,Address,School DBN,School Name
0,Bedford-Stuyvesant Family Health Center,PS 054 Samuel C Barnes,"195 Sandford Street
Brooklyn, NY, 11205",13K054 K141@13K054,P.S. 054 Samuel C. Barnes D75 Program
1,Bedford-Stuyvesant Family Health Center,PS 256 Benjamin Banneker,"114 Kosciuszko Street
Brooklyn, NY, 11216","13K256
84K702",P.S. 256 Benjamin Banneker Community Partnership Charter School
2,Bedford-Stuyvesant Family Health Center,George E Wibecan Campus,"794 Monroe Street
Brooklyn, NY, 11221","16K309
84K712",P.S. 309 The George E. Wibecan Preparatory Academy Excellence Girls Charter School
3,Brooklyn Plaza Medical Center,"Benjamin Banneker
Academy","71 Clinton Avenue
Brooklyn, NY, 11205",13K670,Benjamin Banneker Academy
4,Brownsville Multi-Service Family Health,Thomas Jefferson Campus,"400 Pennsylvania Avenue
Brooklyn, NY, 11207","19K502
19K504
19K507
19K510
79K925@K435
79M984@K435","FDNY - Captain Vernon A. Richard High School For Fire And Life Safety
High School For Civil Rights
Performing Arts And Technology High School World Academy For Total Community Health High School
YABC LYFE"
5,Children's Aid Society,PS 5,"3703 10 Avenue
New York, NY, 10034",06M005,P.S. 005 Ellen Lurie
6,Children's Aid Society,PS 8,"465 West 167 Street
New York, NY, 10032",06M008,P.S. 008 Luis Belliard
7,Children's Aid Society,Mirabal Sisters Campus,"21 Jumel Place
New York, NY, 10032","06M319
06M324
84M068 M138@06M090 M138@06M319 M138@06M324","M.S. 319 - Maria Teresa
M.S. 324 - Patria Mirabal
Kipp Washington Heights Middle School D75 Program
D75 Program D75 Program"
8,Children's Aid Society,Salome Urena Campus,"4600 Broadway
New York, NY, 10040","06M293
06M322",City College Academy Of The Arts Middle School 322
9,Children's Aid Society,Curtis High School,"105 Hamilton Avenue Staten Island, NY, 10301",31R450 R025@31R450,Curtis High School D75 Program
10,Children's Aid Society,Charles Drew Campus,"3630 Third Avenue
Bronx, NY, 10456","09X215
09X219
09X517","Kappa
I.S. 219 New Venture School
Frederick Douglass Academy III Secondary School"
11,Community Healthcare Network,Seward Park Campus,"350 Grand Street New York, NY, 10002","02M294
02M305
02M308
02M543
02M545","Essex Street Academy
Urban Assembly Academy Of Government And Law, The Lower Manhattan Arts Academy
New Design High School
High School For Dual Language And Asian Studies"
12,Community Healthcare Network,"Community Health Academy of the
Heights","504 West 158 Street New York, NY, 10032",06M346,Community Health Academy Of The Heights
13,"East Harlem Council For
Human Services","PS 007 Samuel
Stern Campus","160 East 120 Street
New York, NY, 10035",04M007,P.S. 007 Samuel Stern
14,"East Harlem Council For
Human Services","PS 112 Jose Celso
Barbosa","535 East 119 Street
New York, NY, 10035",04M112,P.S. 112 Jose Celso Barbosa
15,East Harlem Council For Human Services,PS 155 William Paca,"319 East 117 Street New York, NY, 10035","04M155
04M377 M811@04M377",P.S. 155 William Paca Renaissance School Of The Arts D75 Program
16,H+H Gotham,IS 49 Campus,"223 Graham Avenue
Brooklyn, NY, 11206","14K449
14K454
14K586","Brooklyn Latin School, The
The Williamsburg High School Of Art And Technology Lyons Community School"
17,H+H Gotham,JHS 166 George Gershwin Campus,"800 Van Siclen Avenue Brooklyn, NY, 11207","19K654
84K359
84K788","Van Siclen Community Middle School The UFT Charter School
Achievement First Linden Elementary School"
18,H+H Gotham,JHS 302 Rafael Cordero Campus,"350 Linwood Street
Brooklyn, NY, 11208","19K661
19K662
84K774","Vista Academy
Liberty Avenue Middle School Achievement First Apollo Charter School"
19,H+H Gotham,Grand Street Campus,"850 Grand Street
Brooklyn, NY, 11211","14K474
14K477
14K478
79M984@K450","Progress High School For Professional Careers East Williamsburg Scholars Academy
The High School For Enterprise, Business And Technology
LYFE"
20,H+H Gotham,Bushwick Educational Campus,"400 Irving Avenue
Brooklyn, NY, 11237","32K168
32K403
32K549
32K552
79M984@K480","The Brooklyn School For Math And Research Academy For Excellence In Leadership
The Brooklyn School For Social Justice
The Academy Of Urban Planning And Engineering LYFE"
21,H+H Gotham,"Frederick Douglass
Academy","2581 7 Avenue
New York, NY, 10039",05M499,Frederick Douglass Academy
22,H+H Gotham,"PS 030
Hernandez/Hughes","144 East 128 Street New York, NY, 10035","05M030
84M384 M138@05M030","P.S. 030 Hernandez/Hughes
Success Academy Charter School - Harlem 2 D75 Program"
23,H+H Gotham,Adam Clayton Powell Campus,"509 West 129 Street New York, NY, 10027","05M286
05M369",Urban Assembly Academy For Future Leaders Urban Assembly School For The Performing Arts
24,H+H Gotham,PS 046 Arthur Tappan,"2987 Frederick Douglass Boulevard
New York, NY, 10039",05M046,P.S. 046 Arthur Tappan
25,H+H Gotham,Henry Street Campus,"220 Henry Street New York, NY, 10002","01M292
01M332
79M973@M056
84M080","Orchard Collegiate Academy
University Neighborhood Middle School ReStart Academy
Manhattan Charter School II"
26,H+H Gotham,PS 161 Pedro Albizu Campos,"499 West 133 Street New York, NY, 10027",05M161,P.S. 161 Pedro Albizu Campos
27,H+H Gotham,PS 194 Campus,"244 West 144 Street New York, NY, 10030","05M194
84M709","P.S. 194 Countee Cullen
Harlem Village Academy West Charter School"
28,H+H Gotham,PS 197 Russwurm Campus,"2230 5 Avenue
New York, NY, 10037","05M197
84M350",P.S. 197 John B. Russwurm Democracy Prep Charter School
29,H+H Gotham,PS 200 James M Smith,"2589 7 Avenue
New York, NY, 10039",05M200 M811@05M200,P.S. 200- The James Mccune Smith School D75 Program
