,DBN,School Name,Student Response Rate,Number of student respondents,Number of eligible students,Safety and respect score,Communication score,Engagement score,Academic expectation score
0,01M015,P.S. 015 Roberto Clemente,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1,01M019,P.S. 019 Asher Levy,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
2,01M020,P.S. 020 Anna Silver,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
3,01M034,P.S. 034 Franklin D. Roosevelt,89.0,145.0,163.0,6.2,5.9,6.5,7.4
4,01M063,P.S. 063 William McKinley,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
5,01M064,P.S. 064 Robert Simon,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
6,01M110,P.S. 110 Florence Nightingale,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
7,01M134,P.S. 134 Henrietta Szold,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
8,01M137,P.S. 137 John L. Bernstein,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
9,01M140,P.S. 140 Nathan Straus,98.0,185.0,189.0,7.6,6.7,7.5,8.0
10,01M142,P.S. 142 Amalia Castro,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
11,01M184,P.S. 184 Shuang Wen,96.0,156.0,162.0,7.4,5.9,7.2,7.7
12,01M188,P.S. 188 The Island School,82.0,119.0,146.0,6.8,6.3,7.0,7.5
13,01M292,Henry Street School for International Studies,89.0,379.0,425.0,6.0,5.6,6.1,6.7
14,01M301,"Technology, Arts, and Sciences Studio",99.0,181.0,182.0,5.8,5.9,6.4,7.0
15,01M315,The East Village Community School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
16,01M332,University Neighborhood Middle School,96.0,110.0,115.0,7.2,6.6,7.0,8.1
17,01M345,"Collaborative Academy of Science, Technology, & La",100.0,254.0,255.0,7.0,6.3,7.0,7.6
18,01M361,The Children's Workshop School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
19,01M363,Neighborhood School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
20,01M364,Earth School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
21,01M378,School for Global Leaders,78.0,204.0,260.0,7.5,7.7,7.3,8.0
22,01M448,University Neighborhood High School,84.0,385.0,459.0,6.0,5.7,6.3,7.0
23,01M450,East Side Community School,0.0,-1.0,566.0,-1.0,-1.0,-1.0,-1.0
24,01M458,Forsyth Satellite Academy,40.0,66.0,167.0,6.8,6.1,6.1,6.8
25,01M509,Marta Valle High School,90.0,306.0,339.0,6.4,5.9,6.4,7.0
26,01M515,Lower East Side Preparatory High School,95.0,454.0,477.0,8.0,6.3,7.0,7.3
27,01M539,"New Explorations into Science, Technology and Math",98.0,923.0,945.0,7.3,6.4,7.0,7.7
28,01M650,Cascades High School,75.0,125.0,166.0,8.1,6.9,7.9,8.4
29,01M696,Bard High School Early College,98.0,561.0,571.0,8.3,7.3,8.0,8.9
30,01M839,Tompkins Square Middle School,88.0,340.0,388.0,7.6,7.2,7.8,8.1
31,02M001,P.S. 001 Alfred E. Smith,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
32,02M002,P.S. 002 Meyer London,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
33,02M003,P.S. 003 Charrette School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
34,02M006,P.S. 006 Lillie D. Blake,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
35,02M011,P.S. 011 William T. Harris,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
36,02M033,P.S. 033 Chelsea Prep,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
37,02M040,P.S. 040 Augustus Saint-Gaudens,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
38,02M041,P.S. 041 Greenwich Village,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
39,02M042,P.S. 042 Benjamin Altman,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
40,02M047,47 The American Sign Language and English Secondar,72.0,109.0,152.0,7.3,6.3,7.0,7.5
41,02M051,P.S. 051 Elias Howe,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
42,02M059,P.S. 059 Beekman Hill International,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
43,02M077,P.S. 77 Lower Lab School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
44,02M089,P.S. 89,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
45,02M104,J.H.S. 104 Simon Baruch,96.0,945.0,985.0,6.6,6.2,6.7,7.5
46,02M111,P.S. 111 Adolph S. Ochs,94.0,207.0,221.0,6.8,6.7,7.4,7.8
47,02M114,East Side Middle School,98.0,429.0,436.0,8.5,7.4,8.2,8.2
48,02M116,P.S. 116 Mary Lindley Murray,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
49,02M124,P.S. 124 Yung Wing,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
50,02M126,P.S. 126 Jacob August Riis,95.0,332.0,349.0,6.9,6.5,7.4,7.8
51,02M130,P.S. 130 Hernando De Soto,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
52,02M131,M.S. 131,89.0,616.0,694.0,6.8,6.0,6.7,7.1
53,02M150,P.S. 150,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
54,02M151,Yorkville Community School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
55,02M158,P.S. 158 Bayard Taylor,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
56,02M167,J.H.S. 167 Robert F. Wagner,93.0,1126.0,1211.0,6.8,6.3,6.8,7.6
57,02M183,P.S. 183 Robert L. Stevenson,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
58,02M198,P.S. 198 Isador E. Ida Straus,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
59,02M212,P.S. 212 Midtown West,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
60,02M217,P.S./I.S. 217 Roosevelt Island,95.0,84.0,88.0,6.3,5.8,6.6,7.2
61,02M225,Ella Baker School,51.0,35.0,69.0,7.4,7.3,7.6,8.2
62,02M234,P.S. 234 Independence School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
63,02M255,M.S. 255 Salk School of Science,95.0,366.0,386.0,7.9,7.6,8.0,8.3
64,02M260,M.S. 260 Clinton School Writers & Artists,94.0,255.0,272.0,7.4,6.4,7.3,7.8
65,02M267,P.S. 267,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
66,02M276,BATTERY PARK CITY SCHOOL,97.0,59.0,61.0,7.8,7.2,8.1,8.3
67,02M288,Food and Finance High School,86.0,348.0,407.0,6.2,5.7,6.1,7.2
68,02M289,I.S. 289,99.0,275.0,278.0,7.5,6.7,7.2,7.5
69,02M290,P.S. 290 Manhattan New School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
70,02M294,Essex Street Academy,48.0,150.0,314.0,7.4,6.5,7.3,7.6
71,02M296,High School of Hospitality Management,61.0,233.0,385.0,7.1,6.5,7.0,7.4
72,02M298,Pace High School,96.0,392.0,407.0,6.6,6.2,6.7,7.5
73,02M300,"Urban Assembly School of Design and Construction,",92.0,349.0,381.0,6.5,5.7,6.1,7.2
74,02M303,"Facing History School, The",83.0,319.0,386.0,7.0,6.6,6.8,7.4
75,02M305,"Urban Assembly Academy of Government and Law, The",82.0,223.0,273.0,6.0,6.0,6.0,7.2
76,02M308,Lower Manhattan Arts Academy,78.0,240.0,307.0,6.6,5.8,6.7,7.3
77,02M312,New York City Lab Middle School for Collaborative,99.0,554.0,561.0,7.9,7.2,7.7,7.9
78,02M313,"James Baldwin School, The: A School for Expedition",70.0,146.0,210.0,7.6,7.4,7.4,8.2
79,02M316,"Urban Assembly School of Business for Young Women,",86.0,294.0,341.0,6.8,6.4,6.7,7.6
80,02M347,The 47 American Sign Language & English Lower Scho,90.0,53.0,59.0,7.4,7.0,7.6,8.0
81,02M374,Gramercy Arts High School,96.0,428.0,448.0,6.1,6.0,6.3,7.2
82,02M376,NYC iSchool,89.0,278.0,312.0,7.8,7.0,7.6,8.1
83,02M392,MANHATTAN BUSINESS ACADEMY,83.0,172.0,206.0,6.9,6.4,6.8,7.5
84,02M393,BUSINESS OF SPORTS SCHOOL,92.0,194.0,210.0,6.2,6.1,6.3,7.0
85,02M394,EMMA LAZARUS HIGH SCHOOL,93.0,228.0,244.0,8.2,7.1,7.3,8.0
86,02M397,SPRUCE STREET SCHOOL,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
87,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,84.0,123.0,147.0,6.6,5.7,6.3,6.9
88,02M400,High School for Environmental Studies,81.0,1114.0,1383.0,7.1,6.2,7.0,7.8
89,02M407,Institute for Collaborative Education,95.0,464.0,487.0,7.5,7.8,7.9,8.3
90,02M408,Professional Performing Arts High School,86.0,408.0,477.0,7.1,5.9,6.5,7.2
91,02M411,Baruch College Campus High School,85.0,372.0,438.0,7.8,7.0,7.0,7.8
92,02M412,N.Y.C. Lab School for Collaborative Studies,93.0,482.0,520.0,7.5,6.9,7.0,7.7
93,02M413,School of the Future High School,83.0,540.0,650.0,7.1,6.8,6.9,7.7
94,02M414,N.Y.C. Museum School,99.0,428.0,431.0,7.1,6.1,6.7,7.4
95,02M416,Eleanor Roosevelt High School,85.0,423.0,497.0,8.1,7.0,7.4,8.2
96,02M418,Millennium High School,95.0,596.0,630.0,7.5,6.9,6.8,7.9
97,02M419,Landmark High School,79.0,328.0,417.0,6.7,6.2,6.2,7.0
98,02M420,High School for Health Professions and Human Servi,93.0,1536.0,1643.0,6.5,5.5,6.1,7.1
