,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
0,01M015,P.S. 015 Roberto Clemente,Elementary,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
1,01M019,P.S. 019 Asher Levy,Elementary,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
2,01M020,P.S. 020 Anna Silver,Elementary,1.0,3,3,3,3,3,3,3,0,3,0,0,3,3,3
3,01M034,P.S. 034 Franklin D. Roosevelt,K-8,1.0,3,3,3,3,3,3,3,3,27,3,0,3,3,3
4,01M063,The STAR Academy - P.S.63,Elementary,1.0,3,3,3,3,3,3,3,3,29,3,0,3,3,3
5,01M064,P.S. 064 Robert Simon,Elementary,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
6,01M110,P.S. 110 Florence Nightingale,Elementary,1.0,3,3,3,3,3,3,3,3,9,3,0,3,3,3
7,01M134,P.S. 134 Henrietta Szold,Elementary,1.0,3,3,3,3,3,3,3,3,16,3,0,3,3,3
8,01M140,P.S. 140 Nathan Straus,K-8,1.0,3,3,3,3,3,3,3,3,3,9,0,3,3,3
9,01M142,P.S. 142 Amalia Castro,Elementary,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
10,01M184,P.S. 184m Shuang Wen,K-8,1.0,3,3,3,3,3,3,3,0,0,3,0,3,3,3
11,01M188,P.S. 188 The Island School,K-8,1.0,3,3,3,3,3,3,3,35,55,24,0,3,3,3
12,01M292,Orchard Collegiate Academy,High school,1.0,3,3,3,3,3,3,3,3,3,3,0,3,3,3
13,01M315,The East Village Community School,Elementary,1.0,3,3,3,3,3,3,3,0,3,3,0,3,3,3
14,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,1.0,3,3,3,3,3,3,3,13,29,8,0,3,3,3
15,01M361,The Children's Workshop School,Elementary,1.0,3,3,3,3,3,3,3,0,3,0,0,3,3,3
16,01M363,Neighborhood School,Elementary,1.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
17,01M364,Earth School,Elementary,1.0,3,3,3,3,3,3,3,0,3,0,0,3,3,3
18,01M378,School for Global Leaders,Junior High-Intermediate-Middle,1.0,3,3,3,3,3,3,3,37,6,13,0,3,3,3
19,01M448,University Neighborhood High School,High school,1.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
20,01M450,East Side Community School,Secondary School,1.0,3,3,3,3,3,3,3,10,3,3,0,3,3,3
21,01M458,Forsyth Satellite Academy,High school,1.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
22,01M509,Marta Valle High School,High school,1.0,3,3,3,3,3,3,3,13,3,3,0,3,3,3
