DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted,school_year
01M015,P.S. 015 Roberto Clemente,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
01M019,P.S. 019 Asher Levy,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
01M020,P.S. 020 Anna Silver,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
01M034,P.S. 034 Franklin D. Roosevelt,K-8,1.0,0,0,0,0,0,0,0,7,10,3,0,0,0,0,2020_2019
01M063,The STAR Academy - P.S.63,Elementary,1.0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,2020_2019
01M064,P.S. 064 Robert Simon,Elementary,1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
01M110,P.S. 110 Florence Nightingale,Elementary,1.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
01M134,P.S. 134 Henrietta Szold,Elementary,1.0,0,0,0,3,0,0,0,3,9,3,0,0,3,3,2020_2019
01M140,P.S. 140 Nathan Straus,K-8,1.0,0,0,0,0,0,0,0,9,3,9,0,0,0,0,2020_2019
01M142,P.S. 142 Amalia Castro,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
01M184,P.S. 184m Shuang Wen,K-8,1.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2020_2019
01M188,P.S. 188 The Island School,K-8,1.0,0,0,0,0,0,0,0,11,29,3,0,0,0,0,2020_2019
01M292,Orchard Collegiate Academy,High school,1.0,0,0,3,0,0,0,0,6,0,3,0,0,3,3,2020_2019
01M315,The East Village Community School,Elementary,1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,1.0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,2020_2019
01M361,The Children's Workshop School,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
01M363,Neighborhood School,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
01M364,Earth School,Elementary,1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
