,DBN,school_name,school_type,administrative_district_code,american indian/alaskan native removals and/or suspensions resulting from incidents where nypd was contacted,asian removals and/or suspensions resulting from incidents where nypd was contacted,black removals and/or suspensions resulting from incidents where nypd was contacted,hispanic removals and/or suspensions resulting from incidents where nypd was contacted,multi-racial removals and/or suspensions resulting from incidents where nypd was contacted,unknown removals and/or suspensions resulting from incidents where nypd was contacted,white removals and/or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals and/or suspensions resulting from incidents where nypd was contacted,male removals and/or suspensions resulting from incidents where nypd was contacted,sy1920_total_removals_suspensions removals and/or suspensions resulting from incidents where nypd was contacted
0,01M015,P.S. 015 Roberto Clemente,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,01M019,P.S. 019 Asher Levy,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,01M020,P.S. 020 Anna Silver,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,01M034,P.S. 034 Franklin D. Roosevelt,K-8,1.0,0,0,0,0,0,0,0,7,10,3,0,0,0,0
4,01M063,The STAR Academy - P.S.63,Elementary,1.0,0,0,0,0,0,0,0,3,15,0,0,0,0,0
5,01M064,P.S. 064 Robert Simon,Elementary,1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
6,01M110,P.S. 110 Florence Nightingale,Elementary,1.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
7,01M134,P.S. 134 Henrietta Szold,Elementary,1.0,0,0,0,3,0,0,0,3,9,3,0,0,3,3
8,01M140,P.S. 140 Nathan Straus,K-8,1.0,0,0,0,0,0,0,0,9,3,9,0,0,0,0
9,01M142,P.S. 142 Amalia Castro,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,01M184,P.S. 184m Shuang Wen,K-8,1.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
11,01M188,P.S. 188 The Island School,K-8,1.0,0,0,0,0,0,0,0,11,29,3,0,0,0,0
12,01M292,Orchard Collegiate Academy,High school,1.0,0,0,3,0,0,0,0,6,0,3,0,0,3,3
13,01M315,The East Village Community School,Elementary,1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
14,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,1.0,0,0,0,0,0,0,0,3,8,3,0,0,0,0
15,01M361,The Children's Workshop School,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,01M363,Neighborhood School,Elementary,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,01M364,Earth School,Elementary,1.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
18,01M378,School for Global Leaders,Junior High-Intermediate-Middle,1.0,0,0,0,0,0,0,0,3,3,9,0,0,0,0
19,01M448,University Neighborhood High School,High school,1.0,0,0,3,0,0,0,0,9,0,0,0,0,3,3
20,01M450,East Side Community School,Secondary School,1.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
21,01M458,Forsyth Satellite Academy,High school,1.0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
22,01M509,Marta Valle High School,High school,1.0,0,0,0,0,0,0,0,8,3,3,0,0,0,0
23,01M515,Lower East Side Preparatory High School,High school,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,01M539,"New Explorations into Science, Technology and Math",K-12 all grades,1.0,0,0,3,0,0,0,0,3,0,3,0,0,3,3
25,01M650,Cascades High School,High school,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,01M696,Bard High School Early College,High school,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
27,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,1.0,0,0,3,0,0,0,0,3,0,3,0,0,3,3
28,02M001,P.S. 001 Alfred E. Smith,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,02M002,P.S. 002 Meyer London,Elementary,2.0,0,0,0,0,0,0,0,3,10,0,0,0,0,0
30,02M003,P.S. 003 Charrette School,Elementary,2.0,0,0,0,3,0,0,0,0,6,3,0,0,3,3
31,02M006,P.S. 006 Lillie D. Blake,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,02M011,P.S. 011 William T. Harris,Elementary,2.0,0,0,0,3,0,0,3,0,3,3,0,3,3,3
33,02M033,P.S. 033 Chelsea Prep,Elementary,2.0,0,0,3,3,0,0,0,3,3,3,0,0,3,3
34,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,2.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
35,02M041,P.S. 041 Greenwich Village,Elementary,2.0,0,0,0,0,0,0,3,3,3,0,0,0,3,3
36,02M042,P.S. 042 Benjamin Altman,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
37,02M047,47 The American Sign Language and English Secondar,High school,2.0,0,0,0,3,0,0,0,3,0,0,0,3,0,3
38,02M051,P.S. 051 Elias Howe,Elementary,2.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
39,02M059,P.S. 059 Beekman Hill International,Elementary,2.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
40,02M077,P.S. 77 Lower Lab School,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
41,02M089,P.S. 89,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,8,3,6,0,0,0,0
43,02M111,P.S. 111 Adolph S. Ochs,Elementary,2.0,0,0,0,0,0,0,0,3,21,3,0,0,0,0
44,02M114,East Side Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
45,02M116,P.S. 116 Mary Lindley Murray,Elementary,2.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
46,02M124,P.S. 124 Yung Wing,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
47,02M126,P.S. 126 Jacob August Riis,K-8,2.0,0,0,0,0,0,0,0,7,9,0,0,0,0,0
48,02M130,P.S. 130 Hernando De Soto,Elementary,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
49,02M131,M.S. 131,Junior High-Intermediate-Middle,2.0,0,3,3,0,0,0,0,3,3,3,0,0,3,3
50,02M135,The Urban Assembly School for Emergency Management,High school,2.0,0,0,3,3,0,0,0,24,30,3,0,0,3,3
51,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High school,2.0,0,0,0,0,0,0,0,9,3,0,0,0,0,0
52,02M150,P.S. 150,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,02M151,Yorkville Community School,Elementary,2.0,0,0,0,0,0,0,0,3,15,0,0,0,0,0
54,02M158,P.S. 158 Bayard Taylor,Elementary,2.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
55,02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,2.0,0,0,3,3,0,0,3,52,169,3,0,3,3,8
56,02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,3,9,0,0,0,0,0
57,02M183,P.S. 183 Robert L. Stevenson,Elementary,2.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
58,02M198,P.S. 198 Isador E. Ida Straus,Elementary,2.0,0,0,0,0,0,0,0,3,16,0,0,0,0,0
59,02M212,P.S. 212 Midtown West,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,02M217,P.S./I.S. 217 Roosevelt Island,K-8,2.0,0,0,3,3,0,0,0,3,3,3,0,3,3,3
61,02M225,Ella Baker School,K-8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,02M234,P.S. 234 Independence School,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
63,02M255,M.S. 255 Salk School of Science,Junior High-Intermediate-Middle,2.0,0,3,0,0,0,0,0,3,3,3,0,3,0,3
64,02M260,The Clinton School,Secondary School,2.0,0,3,0,3,0,0,3,9,0,3,0,0,3,3
65,02M267,"East Side Elementary School, PS 267",Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,02M276,Battery Park City School,K-8,2.0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
67,02M280,Manhattan Early College School for Advertising,High school,2.0,3,3,0,3,0,0,0,35,67,3,0,3,3,3
68,02M281,The River School,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,02M282,Urban Assembly Maker Academy,High school,2.0,0,0,0,3,0,0,0,17,3,3,0,0,3,3
